Номер закладу в АІКОМ,Повна назва закладу,Назва ТГ,Тип простору,Формат роботи,longitude,latitude,hromada id,region name,risk bucket
8176,Комунальний заклад «Жмеринський ліцей №4»,Жмеринська,2025 STEM,Очно,28.110451698303223,49.03612363237144,UA05060050000058111,Вінницька,Задовільний
8852,КОМУНАЛЬНИЙ ЗАКЛАД «ВІННИЦЬКИЙ ЛІЦЕЙ № 35»,Вінницька міська територіальна громада,2025 STEM,Очно,28.399582,49.231459,UA05020030000031457,Вінницька,Помірний
7202,Іллінецький ліцей №2 Іллінецької міської ради Вінницької області,Іллінецька,2025 STEM,Очно,29.201418,49.104554,UA05020090000067118,Вінницька,Задовільний
7811,Ліцей №4 Ладижинської міської ради Вінницької області,Ладижинська міська територіальна громада,2025 STEM,Очно,29.232563,48.680436,UA05040130000025322,Вінницька,Високий
7737,Ліцей №3 м. Хмільника Вінницької області,Хмільницька міська територіальна громада,2025 STEM,Очно,27.948655,49.563689,UA05120170000013778,Вінницька,Задовільний
16976,Волинський науковий ліцей Волинської обласної ради,Луцька міська  територіальна громада,2025 STEM,Очно,25.324613,50.775029,UA07080170000013585,Волинська,Помірний
17148,Заклад загальної середньої освіти «Камінь-Каширський ліцей» №2  Камінь-Каширської міської ради Волинської області,Камінь-Каширська,2025 STEM,Очно,24.946296,51.629774,UA07040010000033507,Волинська,Високий
17562,Нововолинський ліцей №8 Нововолинської міської ради Волинської області,Нововолинська ТГ,2025 STEM,Очно,24.17927,50.724256,UA07020130000036300,Волинська,Задовільний
17504,"Опорний заклад ""Колківський ліцей"" Колківської селищної ради Волинської області",Колківська,2025 STEM,Очно,25.662361,51.099884,UA07080130000017070,Волинська,Задовільний
17395,Підгайцівський ліцей Підгайцівської сільської ради Луцького району Волинської області,Підгайцівська ТГ,2025 STEM,Очно,25.4042557,50.710411,UA07080230000046097,Волинська,Задовільний
3619,Слобожанський ліцей Слобожанської селищної ради Дніпровського району Дніпропетровської області,Слобожанська,2025 STEM,Очно,35.079935395399254,48.53117832528587,UA12020250000010438,Дніпропетровська,Високий
3484,Дніпровський ліцей № 111 Дніпровської міської ради,Дніпровська міська територіальна громада,2025 STEM,Очно,35.0710415840149,48.41203216554142,UA12020010000033698,Дніпропетровська,Високий
3580,"Заклад загальної середньої освіти ""Солонянський ліцей"" Солонянської селищної ради Дніпропетровської області",Солонянська  селищна територіальна громада,2025 STEM,Очно,34.880648,48.213746,UA12020270000063450,Дніпропетровська,Дуже високий
3227,Яворницький ліцей Яворницької селищної ради Дніпропетровської області,Іларіонівська,2025 STEM,Очно,35.272215,48.405765,UA12140110000060935,Дніпропетровська,Високий
2920,Комунальний заклад «Науковий ліцей імені Анатолія Лигуна» Камʼянської міської ради,Камʼянська міська територіальна громада,2025 STEM,Очно,34.615807,48.524555,UA12040150000015189,Дніпропетровська,Високий
15693,Ліцей № 1 міста Житомира,Житомирська,2025 STEM,Очно,28.609806,50.283503,UA18040190000029215,Житомирська,Помірний
15794,Ліцей №1 імені Густава Олізара Коростишівської міської ради,Коростишівська,2025 STEM,Очно,29.062071,50.312867,UA18040250000068141,Житомирська,Задовільний
15837,Ліцей №1 імені Лесі Українки Звягельської міської ради,Звягельська міська територіальна громада,2025 STEM,Очно,27.615514,50.594408,UA18080150000022496,Житомирська,Помірний
16822,Коростенський міський ліцей №4 Житомирської області,Коростенська міська територіальна громада,2025 STEM,Очно,28.641067,50.947659,UA18060090000061708,Житомирська,Високий
15575,Андрушівський ліцей №2 Андрушівської міської ради Бердичівського району Житомирської області,Андрушівська міська,2025 STEM,Очно,29.017794,50.014123,UA18020010000059904,Житомирська,Задовільний
19269,Ужгородський ліцей ім. Т. Г. Шевченка Ужгородської міської ради Закарпатської області,Ужгородська міська територіальна громада,2025 STEM,Очно,22.296697,48.622743,UA21100230000083101,Закарпатська,Задовільний
19173,Тячівський ліцей №1 імені В.Ґренджі-Донського Тячівської міської ради Закарпатської області,Тячівська міська територіальна громада,2025 STEM,Очно,23.574874,48.008174,UA21080150000014443,Закарпатська,Задовільний
19016,Мукачівський ліцей Мукачівської міської ради Закарпатської області,Мукачівська МТГ,2025 STEM,Очно,22.718358,48.438949,UA21040150000092428,Закарпатська,Задовільний
19122,Лазещинський заклад загальної середньої освіти,Ясінянська територіальна громада,2025 STEM,Очно,24.414817,48.273857,UA21060070000049340,Закарпатська,Задовільний
18905,Іршавський ліцей Іршавської міської ради Закарпатської області,Іршавська,2025 STEM,Очно,23.049908,48.309166,UA21120130000025618,Закарпатська,Задовільний
1534,"Комунальний заклад ""Запорізька спеціалізована школа-інтернат ІІ-ІІІ ступенів ""Січовий колегіум"" Запорізької обласної ради",Запорізька,2025 STEM,Очно,35.0548894,47.8173622,UA23060070000082704,Запорізька,Дуже високий
10821,Ліцей ім. Романа Шухевича Івано-Франківської міської ради,Івано-Франківська,2025 STEM,Очно,24.721475,48.914495,UA26040190000081578,Івано-Франківська,Помірний
11228,Тисменицький ліцей Тисменицької міської ради,Тисменицька міська територіальна громада,2025 STEM,Очно,24.840825,48.899975,UA26040330000019235,Івано-Франківська,Задовільний
10577,Богородчанський ліцей №1 імені Олекси Гірника Богородчанської селищної ради,Богородчанська селищна територіальна громада,2025 STEM,Очно,24.53329682350159,48.80831197101941,UA26040030000091528,Івано-Франківська,Задовільний
11036,Надвірнянський ліцей № 1 імені В.М. Чорновола Надвірнянської міської ради Івано-Франківської області,Надвірнянська,2025 STEM,Очно,24.570028,48.633456,UA26120070000067596,Івано-Франківська,Задовільний
22286,Бучанський ліцей №3 Бучанської міської ради Київської області,Бучанська,2025 STEM,Очно,30.226989,50.545802,UA32080070000050759,Київська,Помірний
23820,"Комунальний заклад загальної середньої освіти ""Ліцей №1 с. Петропавлівська Борщагівка"" Борщагівської сільської ради Бучанського району Київської області",Борщагівська сільська ТГ,2025 STEM,Очно,30.3226196,50.42180450000001,UA32080050000052660,Київська,Високий
21569,Бориспільський ліцей «Перспектива» імені Володимира Мономаха Бориспільської міської  ради Київської області,Бориспільська міська територіальна  громада,2025 STEM,Очно,30.961829,50.346294,UA32040010000010116,Київська,Високий
21685,Броварський ліцей № 10 Броварської міської ради Броварського району Київської області,Броварська міська територіальна громада,2025 STEM,Очно,30.798201,50.521893,UA32060050000030591,Київська,Високий
21817,"Комунальний заклад Кагарлицької міської ради ""Кагарлицький ліцей №3""",Кагарлицька,2025 STEM,Очно,30.82394599914551,49.86454632391818,UA32120050000067577,Київська,Помірний
21811,Коцюбинський ліцей №1 Коцюбинської селищної ради Бучанського району Київської області,Коцюбинська територіальна громада Бучанського району Київської області,2025 STEM,Очно,30.330331,50.49239,UA32080170000086616,Київська,Високий
21592,"Опорний заклад освіти ""Щасливський академічний ліцей"" Пристоличної сільської ради Бориспільського району Київської області",Пристолична,2025 STEM,Очно,30.7969553,50.3793095,UA32040130000049927,Київська,Помірний
5507,Опорний заклад освіти «Васильківський академічний ліцей «Успіх» Васильківської міської ради Київської області,Васильківська,2025 STEM,Очно,30.30896,50.183054,UA32120030000030458,Київська,Високий
22217,ГАТНЕНСЬКИЙ ЛІЦЕЙ ГАТНЕНСЬКОЇ СІЛЬСЬКОЇ РАДИ ФАСТІВСЬКОГО РАЙОНУ КИЇВСЬКОЇ ОБЛАСТІ,Гатненська,2025 STEM,Очно,30.401181,50.355904,UA32140050000046018,Київська,Помірний
21697,"Опорний заклад освіти ""Калинівський академічний ліцей-освітній центр"" Калинівської селищної ради Фастівського району Київської області",Калинівська,2025 STEM,Очно,30.23767,50.220457,UA32140090000085800,Київська,Помірний
13994,"Комунальний заклад ""Ліцей ""Науковий"" Кропивницької міської ради",Кропивницька міська територіальна громада,2025 STEM,Очно,32.262356,48.515305,UA35040210000014072,Кіровоградська,Помірний
14211,Мультипрофільний ліцей Олександрійської міської ради Кіровоградської області,Олександрійська міська громада,2025 STEM,Очно,33.11456,48.661052,UA35080050000038829,Кіровоградська,Помірний
14059,Смолінський ліцей №2 Смолінської селищної ради Кіровоградської області,Смолінська ТГ,2025 STEM,Очно,31.316442489624027,48.6021548839966,UA35060230000086264,Кіровоградська,Помірний
14248,"Комунальний заклад ""Ліцей ""Перспектива"" Світловодської міської ради""",Світловодська,2025 STEM,Очно,33.2047497,49.0536736,UA35080170000077673,Кіровоградська,Помірний
24431,"Комунальний заклад Львівської обласної ради ""Обласний науковий ліцей"" ",Дрогобицька,2025 STEM,Очно,,,UA46020030000019252,Львівська,Задовільний
13028,Давидівський ліцей ім. Т.Г. Шевченка Давидівської сільської ради Львівського району Львівської області,Давидівська сільська територіальна громада,2025 STEM,Очно,24.137992,49.744193,UA46060090000017373,Львівська,Задовільний
12648,Золочівський ліцей Золочівської міської ради Золочівського району Львівської області,Золочівська,2025 STEM,Очно,24.898706,49.8037073,UA46040070000032075,Львівська,Задовільний
4747,Комунальний заклад Кривоозерський ліцей №1 Кривоозерської селищної ради Первомайського району Миколаївської області,Кривоозерська селищна рада,2025 STEM,Очно,30.8503758,48.0469079,UA48080090000029942,Миколаївська,Помірний
8475,Олександрівський ліцей імені Т.Г.Шевченка Олександрівської селищної ради Вознесенського району Миколаївської області,Олександрівська,2025 STEM,Очно,31.2763009,47.6954421,UA48040190000026236,Миколаївська,Високий
11761,"Миколаївський ліцей № 38 ""Муніципаьний колегіум"" імені Володимира Дмитровича Чайки ",Миколаївська міська територіальна громада,2025 STEM,Очно,32.019424,46.972278,UA48060150000071713,Миколаївська,Дуже високий
4643,Баштанський ліцей №1 Баштанської міської ради Миколаївської області,Баштанська,2025 STEM,Очно,32.434087,47.405033,UA48020010000091496,Миколаївська,Дуже високий
5196,Південноукраїнський ліцей № 2 Південноукраїнської міської ради,Южноукраїнська міська територіальна громада,2025 STEM,Очно,31.17958,47.820177,UA48040250000044166,Миколаївська,Високий
23431,КОМУНАЛЬНИЙ ЗАКЛАД «РІШЕЛЬЄВСЬКИЙ НАУКОВИЙ ЛІЦЕЙ»,Одеська,2025 STEM,Очно,30.729426,46.490114,UA51100270000073549,Одеська,Високий
15485,"Заклад загальної середньої освіти ""Прилиманський ліцей"" Авангардівської селищної ради",Авангардівська селищна територіальна громада,2025 STEM,Очно,30.615097,46.424623,UA51100010000023950,Одеська,Високий
21525,"Науковий ліцей ,,Політ” Комунального закладу вищої освіти ,,Кременчуцька гуманітарно-технологічна академія” Полтавської обласної ради",Кременчуцька,2025 STEM,Очно,33.445994,49.092691,UA53020110000092487,Полтавська,Високий
20607,Опорний заклад освіти «Миргородський ліцей «Лінгвіст» Миргородської міської ради Полтавської області»,Миргородська міська територіальна громада,2025 STEM,Очно,33.60893812817682,49.96355462878691,UA53060230000098362,Полтавська,Помірний
20333,Зіньківський опорний ліцей №1 Зіньківської міської ради,Зіньківська,2025 STEM,Очно,34.346285,50.210231,UA53080090000014431,Полтавська,Високий
20747,Комунальний заклад «Полтавський міський багатопрофільний ліцей № 1 ім. І.П. Котляревського Полтавської міської ради Полтавської області»,Полтавська,2025 STEM,Очно,34.556231,49.580917,UA53080370000025447,Полтавська,Високий
16699,Обласний науковий ліцей в м. Рівне Рівненської обласної ради,Рівненська,2025 STEM,Очно,26.252007,50.610536,UA56060470000086729,Рівненська,Помірний
2617,Володимирецький ліцей «Колегіум» Володимирецької селищної ради,Володимирецька селищна,2025 STEM,Очно,26.129315,51.421254,UA56020050000087443,Рівненська,Високий
16209,Дубенський ліцей №6 Дубенської міської ради Рівненської області,Дубенська міська,2025 STEM,Очно,25.753513,50.394595,UA56040110000061997,Рівненська,Помірний
14482,Опорний заклад «Кролевецький ліцей №3» Кролевецької міської ради,Кролевецька міська територіальна громада,2025 STEM,Очно,33.3678323858485,51.55150338091497,UA59020090000085438,Сумська,Дуже високий
14407,Конотопський ліцей №1 Конотопської міської ради Сумської області,Конотопська міська територіальна громада,2025 STEM,Очно,33.206251,51.245078,UA59020070000032449,Сумська,Високий
14617,Путивльський ліцей № 1 ім. Р. Руднєва Путивльської міської ради,Путивльська ТГ,2025 STEM,Очно,33.86689749651851,51.33590356050525,UA59020150000078955,Сумська,Дуже високий
5409,Ліцей №1 Тростянецької міської ради,Тростянецька МТГ,2025 STEM,Очно,34.953223,50.474387,UA59040130000041676,Сумська,Дуже високий
14575,Ліцей № 1 Охтирської міської ради Сумської області,Охтирська міська територіальна громада,2025 STEM,Очно,34.897132,50.30884,UA59040110000026694,Сумська,Дуже високий
14792,"Комунальна організація (установа, заклад) “Шосткинський навчально-виховний комплекс: спеціалізована школа І-ІІ ступенів-ліцей Шосткинської міської ради Сумської області”",Шосткинська міська територіальна громада,2025 STEM,Очно,33.473985,51.869334,UA59100170000093676,Сумська,Дуже високий
14546,Липоводолинський ліцей Липоводолинської селищної ради,Липоводолинська територіальна громада,2025 STEM,Очно,33.792870000504635,50.56317680042188,UA59060070000040784,Сумська,Високий
14307,Миколаївський ліцей Миколаївської селищної ради Сумського району Сумської області,Миколаївська селищна,2025 STEM,Очно,34.378813,50.94132,UA59080130000022249,Сумська,Дуже високий
18192,Кременецький академічний ліцей імені У.Самчука Кременецької міської ради Тернопільської області,Кременецька міська територіальна громада,2025 STEM,Очно,25.719873905181885,50.09725587478775,UA61020070000092368,Тернопільська,Задовільний
18440,Тернопільська загальноосвітня школа І-ІІІ ступенів №19 Тернопільської міської ради Тернопільської області,Тернопільська міська територіальна громада,2025 STEM,Очно,25.642122,49.559335,UA61040490000035010,Тернопільська,Високий
18269,Монастириський заклад загальної середньої освіти І - ІІІ ступенів Монастириської міської ради,Монастириська,2025 STEM,Очно,25.174361,49.092408,UA61060310000061998,Тернопільська,Задовільний
18212,Лановецький заклад загальної середньої освіти І-ІІІ ступенів №1 імені Юрія Коваля Лановецької міської ради Кременецького району Тернопільської області,Лановецька міська територіальна громада,2025 STEM,Очно,26.091783,49.863596,UA61020090000020422,Тернопільська,Задовільний
18564,Шумський ліцей Шумської міської ради,Шумська територіальна громада,2025 STEM,Очно,26.116693,50.118776,UA61020150000036935,Тернопільська,Задовільний
11926,Комунальний заклад «Близнюківський ліцей Близнюківської селищної ради Лозівського району Харківської області»,Близнюківська селищна територіальна громада,2025 STEM,Очно,36.554982,48.856686,UA63100030000050119,Харківська,Дуже високий
11825,"Комунальний заклад ""Кегичівський ліцей"" Кегичівської селищної ради",Кегичівська територіальна громада,2025 STEM,Очно,35.761817693710334,49.2929451105985,UA63060030000041642,Харківська,Високий
23442,Кам’янець-Подільський ліцей з посиленою військово-фізичною підготовкою Хмельницької області,Кам’янець-Подільська міська рада,2025 STEM,Очно,26.5850814,48.6650159,UA68020110000071202,Хмельницька,Помірний
9073,Деражнянський ліцей №3 імені Героя України Івана Зубкова Деражнянської міської ради Хмельницької області,Деражнянська міська ТГ,2025 STEM,Очно,27.414121,49.262928,UA68040150000077185,Хмельницька,Задовільний
9027,Опорний заклад Городоцький ліцей №4 Городоцької міської ради Хмельницької області,Городоцька,2025 STEM,Очно,26.575364,49.16714,UA68040130000024471,Хмельницька,Задовільний
9511,Теофіпольський ліцей № 3 Теофіпольської селищної ради,Теофіпольська селищна територіальна громада,2025 STEM,Очно,26.406023,49.83761,UA68040450000097735,Хмельницька,Задовільний
8889,Славутський ліцей Славутської міської ради,Славутська міська  територіальна громада,2025 STEM,Очно,26.866131,50.295607,UA68060270000042174,Хмельницька,Помірний
9704,Комунальний заклад загальної середньої освіти «Ліцей № 3 імені Артема Мазура Хмельницької міської ради»,Хмельницька міська територіальна громада,2025 STEM,Очно,26.955414,49.406861,UA68040470000053519,Хмельницька,Високий
4600," Комунальний заклад ""Кам'янський ліцей №1 Кам'янської міської ради Черкаської області""",Кам’янська міська територіальна громада,2025 STEM,Очно,32.0988428592682,49.04367015911484,UA71080130000078619,Черкаська,Помірний
4291,Ліцей «Успіх» Монастирищенської міської ради Черкаської області,Монастирищенська міська територіальна громада,2025 STEM,Очно,29.810126,48.996572,UA71060170000092613,Черкаська,Задовільний
4265,Черкаський фізико-математичний ліцей (ФІМЛІ) Черкаської міської ради Черкаської області,Черкаська міська громада,2025 STEM,Очно,32.076018,49.428996,UA71080490000022110,Черкаська,Високий
4178,Жашківський ліцей №1 Жашківської міської ради Черкаської області,Жашківська міська територіальна громада,2025 STEM,Очно,30.096158,49.247546,UA71060090000088339,Черкаська,Задовільний
4130,"Опорний заклад освіти ""Чорнобаївський ліцей Чорнобаївської селищної ради Черкаської області""""",Чорнобаївська територіальна гомада,2025 STEM,Очно,32.3251689598244,49.66635012391009,UA71040190000080571,Черкаська,Помірний
5675,"""Опорний заклад освіти - Шировецький ліцей"" Недобоївської сільської ради Дністровського району Чернівецької області",Недобоївська ТГ,2025 STEM,Очно,26.2978669,48.42572790000001,UA73040110000040354,Чернівецька,Задовільний
5590,Новодністровський заклад загальної середньої освіти ІІ-ІІІ ступенів Новодністровської міської ради Чернівецької області,Новодністровська,2025 STEM,Очно,27.4313777,48.5824459,UA73040130000087963,Чернівецька,Помірний
5973,Чернівецький ліцей №18 Чернівецької міської ради,Чернівецька,2025 STEM,Очно,25.9623951,48.2882512,UA73060610000066784,Чернівецька,Задовільний
5815,Хотинський опорний академічний ліцей Хотинської міської ради,Хотинська міська територіальна громада,2025 STEM,Очно,26.489638,48.507259,UA73040190000062796,Чернівецька,Задовільний
5771,Опорний заклад Сторожинецький ліцей Сторожинецької міської ради Чернівецького району Чернівецької області,Сторожинецька міська територіальна громада,2025 STEM,Очно,25.719503,48.165632,UA73060490000033679,Чернівецька,Задовільний
5901,Красноїльський ліцей імені Алєксандру Ілскі,Красноїльська,2025 STEM,Очно,25.587181,48.014805,UA73060330000039245,Чернівецька,Помірний
21054,Опорний заклад Менська гімназія Менської міської ради,Менська міська територіальна громада,2025 STEM,Очно,32.227501,51.528727,UA74020030000069340,Чернігівська,Дуже високий
20881,Бахмацький ліцей №1 Бахмацької міської ради,Бахмацька,2025 STEM,Очно,32.824072,51.179984,UA74040030000093042,Чернігівська,Високий
21139,Новгород-Сіверський ліцей №1 Новгород-Сіверської міської ради Чернігівської областіі,Новгород-Сіверська міська територіальна громада Чернігівської області,2025 STEM,Очно,33.27233076095582,52.00198054822398,UA74060030000026607,Чернігівська,Непереборний
21178,Прилуцький ліцей №5 імені Віктора Андрійовича Затолокіна Прилуцької міської ради Чернігівської області,м.Прилуки,2025 STEM,Очно,32.384661,50.59204,UA74080130000060606,Чернігівська,Помірний
21395,Козелецький ліцей №3 Козелецької селищної ради,Козелецька селищна рада,2025 STEM,Очно,31.132877,50.907266,UA74100190000086457,Чернігівська,Високий
21301,Чернігівський ліцей №15 Чернігівської міської ради,Місто Чернігів,2025 STEM,Очно,31.273921,51.513383,UA74100390000073425,Чернігівська,Високий
23242,"Політехнічний ліцей Національного технічного університету України ""КПІ"" м. Києва",Територіальна громада міста Києва,2025 STEM,Очно,30.40991753339768,50.44193812638397,UA80000000000093317,Київ,Високий
23295,Ліцей № 172 «Нивки» Шевченківського району м. Києва,Територіальна громада міста Києва,2025 STEM,Очно,30.416309,50.46933,UA80000000000093317,Київ,Високий
23045,Технічний ліцей Дніпровського району м. Києва,Територіальна громада міста Києва,2025 STEM,Очно,30.612815,50.442686,UA80000000000093317,Київ,Високий
23032,Науковий ліцей № 208 Дніпровського району м.Києва,Територіальна громада міста Києва,2025 STEM,Очно,30.600652,50.446552,UA80000000000093317,Київ,Високий
22856,Ліцей №227 міста Києва,Територіальна громада міста Києва,2025 STEM,Очно,30.449843,50.379915,UA80000000000093317,Київ,Високий
23159,Ліцей № 196 Святошинського району міста Києва,Територіальна громада міста Києва,2025 STEM,Очно,30.378732,50.416968,UA80000000000093317,Київ,Високий
7125,Тростянецький ліцей Тростянецької селищної ради Вінницької області,Тростянецька селищна територіальна громада,2026 STEM,Очно,29.2245876789093,48.513932116745146,UA05040250000027965,Вінницька,Помірний
7962,Ситковецький ліцей Райгородської сільської ради Вінницької області,Райгородська ТГ,2026 STEM,Очно,29.201418,48.908538,UA05040190000039450,Вінницька,Задовільний
11324,"Ліцей №3 міста Могилева-Подільського, Могилів-Подільської міської ради Вінницької області",Могилів - Подільська міська територіальна громада,2026 STEM,Очно,27.817402,48.432117,UA05080050000023603,Вінницька,Задовільний
7811,Ліцей №4 Ладижинської міської ради Вінницької області,Ладижинська міська територіальна громада,2026 STEM,Очно,29.232563,48.680436,UA05040130000025322,Вінницька,Високий
8786,Опорний заклад Теплицької селищної ради «Теплицька загальноосвітня школа І-ІІІ ступенів №1»,Теплицька,2026 STEM,Очно,29.74401,48.667574,UA05040230000017028,Вінницька,Помірний
8841,КОМУНАЛЬНИЙ ЗАКЛАД “ВІННИЦЬКИЙ ЛІЦЕЙ №23”,Вінницька міська територіальна громада,2026 STEM,Очно,28.4180642,49.22674989999999,UA05020030000031457,Вінницька,Помірний
6115,"Комунальний заклад ""Погребищенський ліцей №1"" Погребищенської міської ради Вінницького району Вінницької області",Погребищенська міська територіальна громада,2026 STEM,Очно,29.265109,49.48451,UA05020210000033427,Вінницька,Задовільний
7981,Літинський ліцей- опорний заклад загальної середньої освіти  № 2    Літнської селищної ради Вінницької області,Літинська селищна територіальна громада,2026 STEM,Очно,28.08449864387512,49.32893285949497,UA05020130000056031,Вінницька,Задовільний
8809,Брацлавський ліцей №1 Брацлавської сселищної ради,Брацлавська селищна територіальна громада,2026 STEM,Очно,28.933505,48.826529,UA05100010000023453,Вінницька,Задовільний
6379,Тульчинський ліцей №3 Тульчинської міської ради Вінницької області,Тульчинська міська територіальна громада,2026 STEM,Очно,28.854534,48.672964,UA05100150000050790,Вінницька,Задовільний
7360,Станіславчицький опорний заклад загальної середньої освіти І-ІІІ ступенів Станіславчицької сільської ради Жмеринського району Вінницької області,Станіславчицька територіальна громада,2026 STEM,Очно,28.1041838,48.97183769999999,UA05060130000030729,Вінницька,Задовільний
6152,Бершадський ліцей,Бершадська міська територіальна громада,2026 STEM,Очно,29.508876,48.359778,UA05040010000022470,Вінницька,Помірний
7715,опорний заклад загальної середньої освіти-ліцей з дошкільним підрозділом с. Корделівка Калинівської міської ради Вінницької області,Калинівська міська територіальна громада,2026 STEM,Очно,28.546483,49.521671,UA05120070000075759,Вінницька,Задовільний
11404,"Комунальний заклад ""Турбівський ліцей №1 Турбівської селищної ради Вінницького району Вінницької області""",Турбівська селищна територіальна громада Вінницького району Вінницької області,2026 STEM,Очно,28.728105,49.332094,UA05020290000092626,Вінницька,Задовільний
17384,Боратинський ліцей Боратинської сільської ради,Боратинська,2026 STEM,Очно,25.355147,50.700666,UA07080030000051738,Волинська,Задовільний
17683,Ліцей с. Дубечне Дубечненської сільської ради Ковельського району Волинської області,Дубечненська сільська територіальна громада,2026 STEM,Очно,24.373889,51.5484236,UA07060110000041168,Волинська,Дуже високий
17460,Любомльський ліцей №2 Любомльської міської ради Ковельського району Волинської області,Любомльська ТГ,2026 STEM,Очно,24.04022,51.221194,UA07060270000021892,Волинська,Високий
17690,Старовижівський ліцей Старовижівської селищної ради,Старовижівська,2026 STEM,Очно,24.435847,51.438426,UA07060410000041366,Волинська,Дуже високий
17458,Головненський ліцей Головненської селищної ради Ковельського району Волинської області,Головненська ТГ,2026 STEM,Очно,24.079296,51.335994,UA07060090000026043,Волинська,Дуже високий
17702,Опорний заклад «Турійський ліцей» Турійської селищної ради Ковельського району Волинської області,Турійська,2026 STEM,Очно,24.53123,51.084214,UA07060430000041345,Волинська,Помірний
17588,Опорний заклад освіти «Ратнівський ліцей №1 імені Героя України Едуарда Камардіна Ратнівської селищної ради»,Ратнівська селищна територіальна громада,2026 STEM,Очно,24.526487,51.671808,UA07060310000037369,Волинська,Дуже високий
17625,"Комунальний заклад загальної середньої освіти ""Рожищенський ліцей №4"" Рожищенської міської ради Луцького району Волинської області",Рожищенська міська,2026 STEM,Очно,25.267013,50.916182,UA07080250000053335,Волинська,Задовільний
17578,Заболоттівський ліцей Заболоттівської селищної ради Ковельського району Волинської області,Заболоттівська територіальна громада Ковельського району Волинської області,2026 STEM,Очно,24.25215840339661,51.63247979592371,UA07060150000038564,Волинська,Дуже високий
17462,"Опорний заклад ""Вишнівський ліцей"" Вишнівської сільської ради",Вишнівська,2026 STEM,Очно,24.029763,51.19767,UA07060050000091514,Волинська,Високий
17262,"45070, Волинська область, Ковельський район, селище Голоби, вул. Перемоги, 1",Голобська селищна територіальна громада,2026 STEM,Очно,25.012242856126363,51.08413610701045,UA07060070000063773,Волинська,Помірний
17031,Горохівський ліцей №1 ім. І. Я. Франка Горохівської міської ради Луцького району Волинської області,Горохівська,2026 STEM,Очно,24.765151,50.49694,UA07080070000052255,Волинська,Задовільний
17147,Опорний заклад загальної середньої освіти «Камінь-Каширський ліцей №1 ім. Євгена Шабліовського» Камінь-Каширської міської ради Волинської області,Камінь-Каширська,2026 STEM,Очно,24.9666077,51.6245877,UA07040010000033507,Волинська,Високий
17361,"комунальний заклад загальної середньої освіти ""Луцький ліцей № 9 Луцької міської ради""",Луцька міська територіальна громада,2026 STEM,Очно,25.33183369005696,50.7508480548724,UA07080170000013585,Волинська,Помірний
16979,Нововолинський науковий ліцей Волинської обласної ради,Нововолинська,2026 STEM,Очно,24.172218,50.725744,UA07020130000036300,Волинська,Задовільний
17591,"Опорний заклад загальної середньої освіти ""Самарівський ліцей імені Петра Штика Самарівської сільської ради Ковельського району Волинської області""",Самарівська ТГ,2026 STEM,Очно,24.6148781,51.85860479999999,UA07060350000084520,Волинська,Дуже високий
17395,Підгайцівський ліцей Підгайцівської сільської ради Луцького рацону Волинської області,Підгайцівська,2026 STEM,Очно,25.4042557,50.710411,UA07080230000046097,Волинська,Задовільний
3110,ВЕРБКІВСЬКИЙ ЛІЦЕЙ ВЕРБКІВСЬКОЇ СІЛЬСЬКОЇ РАДИ ПАВЛОГРАДСЬКОГО РАЙОНУ ДНІПРОПЕТРОВСЬКОЇ ОБЛАСТІ,Вербківська СТГ,2026 STEM,Очно,35.901278,48.58431,UA12120030000075687,Дніпропетровська,Високий
3607,Олександрівський ліцей Слобожанської селищної ради Дніпровського району Дніпропетровської області,Слобожанська,2026 STEM,Очно,35.233690738677986,48.514038724449286,UA12020250000010438,Дніпропетровська,Високий
3580,Заклад загальної  середньої освіти «Солонянський ліцей» Солонянської селищної ради Дніпропетровської області,Солонянська селищна територіальна громада,2026 STEM,Очно,34.880648,48.213746,UA12020270000063450,Дніпропетровська,Дуже високий
3266,Верхньодніпровський ліцей №5 Верхньодніпровської міської ради,Верхньодніпровська,2026 STEM,Очно,34.334526,48.661933,UA12040050000057182,Дніпропетровська,Високий
3756,Дніпровський науковий ліцей інформаційних технологій Дніпровської міської ради,м. Дніпро,2026 STEM,Очно,35.056233,48.457439,UA12020010000033698,Дніпропетровська,Високий
3119,Ліцей «Тріумф» П’ятихатської міської ради,П’ятихатська міська територіальна громада,2026 STEM,Очно,33.70657014260988,48.39550197037702,UA12040210000039759,Дніпропетровська,Високий
3434,Комунальний заклад «Ліцей №16» Кам’янської міської ради,Кам’янська міська територіальна громада,2026 STEM,Очно,34.60770368634258,48.51665014753654,UA12040150000015189,Дніпропетровська,Високий
3591,Ліцей №2 Підгородненської міської ради Дніпропетровської області,Підгородненська,2026 STEM,Очно,35.108299,48.573622,UA12020210000032285,Дніпропетровська,Високий
2783,комунальний заклад «Тернівський ліцей №5 Тернівської міської ради Дніпропетровської області»,Тернівська,2026 STEM,Очно,36.075803,48.525139,UA12120090000031622,Дніпропетровська,Дуже високий
16926,Тетерівський ліцей імені В'ячеслава Кауркіна Житомирського району Житомирської області,Тетерівська ТГ,2026 STEM,Очно,28.565573,50.234645,UA18040530000045696,Житомирська,Задовільний
16946,Радомишльський ліцей №3 Житомирської області,Радомишльська,2026 STEM,Очно,29.2416439,50.5003013,UA18040450000079138,Житомирська,Помірний
